path,file_size,id,name,description,uri,browse_file_formats,materials,polygons,vertex,is_rigged,is_animated,license,quality,software_for_import,categories,tags
n,29.7 MB,7013,Ford F-150 Raptor 3D Model,Free Download Ford F-150 Raptor Free 3d Model file Zip| Rar in .obj| .max format – ID7013. Download Free 3D Max Models of | Truck| Ford| Raptor| F| 150| F150| Vehicle 3D Objects| a lot of 3D Models download free for your 3D Visualization & 3D Printing.,https://open3dmodel.com/3d-models/ford-f-150-raptor-free-3d-model_7013.html,Max|Obj,.Jpg| .Mtl for Vray| Mental Ray| Corona,N/A,N/A,No,No,Non-commercial,Medium Poly,3ds Max| Maya| Cinema 4D| Sketchup| ,Vehicles,Car|Cars|f|f-150|f150|Ford|raptor|Truck|Vehicles
n,1.8 MB,2291,David Head Sculpture 3D Model,David Head Sculpture 3D Model Free Download| ID2291 (.3ds &.gsm files). Thousands Sculpture| Bust| Statuette 3DS Max Models & 3D Objects| Free 3D Models for 3D Visualization & 3D Printing.,https://open3dmodel.com/3d-models/david-head-sculpture-3d-model_2291.html,3ds|Gsm,.Jpg| .Mtl for Vray| Mental Ray| Corona,N/A,N/A,No,No,Non-commercial,Medium Poly,3ds Max| Maya| Cinema 4D| Sketchup| ,Characters|Garden Components,bust|david|Head|Sculpture|Statuette
n,2.6 MB,19129,People Characters 3D Model,Download 3dsMax Model People Characters in .3ds .Max Zip files – ID19129. Thousands Free 3D Max Models of 3D Objects| a lot of 3D Models download free for your 3D Visualization & 3D Printing.,https://open3dmodel.com/3d-models/3dsmax-model-people-characters_19129.html,3ds|Max,.Jpg| .Mtl for Vray| Mental Ray| Corona,N/A,N/A,No,No,Non-commercial,Medium Poly,3ds Max| Maya| Cinema 4D| Sketchup| ,Characters,Characters|People
n,17.3 MB,20123,Small Kitchen Interior Scene 3D Model,Download Small Kitchen Interior Scene 3d Max Model Free in .3ds .Max Zip files – ID20123. Thousands Free 3D Max Models of Kitchen 3D Objects| a lot of 3D Models download free for your 3D Visualization & 3D Printing.,https://open3dmodel.com/3d-models/small-kitchen-interior-scene-3d-max-model-free_20123.html,3ds|Max,.Jpg| .Mtl for Vray| Mental Ray| Corona,N/A,N/A,No,No,Non-commercial,Medium Poly,3ds Max| Maya| Cinema 4D| Sketchup| ,3D Interior Scenes|Architecture|Furniture|Kitchen Furniture,Interior|Kitchen|scene|Small
n,249.9 KB,6751,Iphone 6 3D Model,Free Download Iphone 6 Free 3d Model file Zip| Rar in Cinema 4D .c4d| .obj| .blend format – ID6751. Download Apple Iphone 6 3D Model a great smartphone in high quality format. A lot of Gadget 3D Models download free for your 3D Visualization and 3D Printing.,https://open3dmodel.com/3d-models/iphone-6-free-3d-model_6751.html,Blend|C4d|Obj,.Jpg| .Mtl for Vray| Mental Ray| Corona,N/A,N/A,No,No,Non-commercial,Medium Poly,3ds Max| Maya| Cinema 4D| Sketchup| ,Electronic,Apple|cycles|Gadget|Gadgets|iOS|iOS Phone|iPhone|Phone|Smartphone
n,520.5 KB,133316,Realistic Woman Leg Character 3D Model,Free 3D Model Realistic Woman Leg Character| free download ID133316. File available in: 3D Studio Max (.max)| Vray (Materials & Settings) formats. This 3d stuff contains the polygons| vertexs and shapes related to ,https://open3dmodel.com/3d-models/3d-model-realistic-woman-leg-character_133316.html,Max|Vray,.Jpg| .Mtl for Vray| Mental Ray| Corona,N/A,N/A,No,No,Non-commercial,Medium Poly,3ds Max| Maya| Cinema 4D| Sketchup| ,Characters,body|Character|Female|Female body|Human|Leg|realistic|Woman
n,2.5 MB,7098,House Exterior Scene 3D Model,Free Download House Free 3d Model file Zip| Rar in .3ds| .3dm format – ID7098. Download Free 3D Max Models of | House| Architecture| Mansion| Residence| Project| | 3D Objects| a lot of 3D Models download free for your 3D Visualization & 3D Printing.,https://open3dmodel.com/3d-models/house-free-3d-model-3_7098.html,3ds,.Jpg| .Mtl for Vray| Mental Ray| Corona,N/A,N/A,No,No,Non-commercial,Medium Poly,3ds Max| Maya| Cinema 4D| Sketchup| ,3D Exterior Scenes|Architecture,Building|exterior|House|mansion|project|residence|scene
n,3.1 MB,7016,Bmw I8 3D Model,Free Download Bmw I8 Free 3d Model file Zip| Rar in .max format – ID7016. Download Free 3D Max Models of | Bmw| I8| Racing| Car| Vehicles| | 3D Objects| a lot of 3D Models download free for your 3D Visualization & 3D Printing.,https://open3dmodel.com/3d-models/bmw-i8-free-3d-model_7016.html,Max,.Jpg| .Mtl for Vray| Mental Ray| Corona,N/A,N/A,No,No,Non-commercial,Medium Poly,3ds Max| Maya| Cinema 4D| Sketchup| ,Sport|Vehicles,Bmw|Car|Cars|i8|Racing|Sport Car|Vehicles
n,3.5 MB,2055,Luna Armchair Vray 3D Model,Download Free Luna Armchair 3dsMax Model Vray ID2055 (.max .obj .3ds files)| Vray material & Studio lighting included. Thousands Livingroom Armchair 3DS Max Models & 3D Objects| Free 3D Models Download for Exterior & Interior 3D Visualization.,https://open3dmodel.com/3d-models/luna-armchair-3dsmax-model-vray_2055.html,3ds|Max|Obj,.Jpg| .Mtl for Vray| Mental Ray| Corona,N/A,N/A,No,No,Non-commercial,Low Poly,3ds Max| Maya| Cinema 4D| Sketchup| ,Exclusive 3D Models|Furniture|High Quality,Armchair|Chair|Chair Sofa & Table|exclusive-3d|High|High Poly|Living|Living Room|Low Poly|Lowpoly|luna|Poly|Room|Sofa|Table
n,1.2 MB,116659,Cute Anime School Girl 3D Model,Free 3D Model of Cute Anime School Girl ID116659 for free download| files available in: Object File (.obj) formats. This file contains the shapes look like to ,https://open3dmodel.com/3d-models/3d-model-cute-anime-school-girl_116659.html,Obj,.Jpg| .Mtl for Vray| Mental Ray| Corona,N/A,N/A,No,No,Non-commercial,Medium Poly,3ds Max| Maya| Cinema 4D| Sketchup| ,Anime characters|Characters,Anime|Characters|Cute|Female|Female Characters|Girl|Girl Characters|Human|school
n,17.7 MB,20948,Luxury Living Room Interior Design 3D Model,Download Luxury Living Room Interior Design 3d Max Model in .3ds .Max Zip files – ID20948. Thousands Free 3D Max Models of Living Room 3D Objects| a lot of 3D Models download free for your 3D Visualization & 3D Printing.,https://open3dmodel.com/3d-models/luxury-living-room-interior-design-3d-max-model_20948.html,3ds|Max,.Jpg| .Mtl for Vray| Mental Ray| Corona,N/A,N/A,No,No,Non-commercial,Medium Poly,3ds Max| Maya| Cinema 4D| Sketchup| ,3D Interior Scenes|Architecture|Furniture,Design|Interior|Living|Living Room|Luxury|Room
n,708.7 KB,9680,Minecraft Steve Rigged 3D Model,Free Download Minecraft Steve Rigged Free 3d Model file Zip| Rar in .obj| .blend format – ID9680. Download Free 3D Max Models of Minecraft| Steve| Santa| Characters| Rigged 3D Objects| a lot of 3D Models download free for your 3D Visualization & 3D Printing.,https://open3dmodel.com/3d-models/minecraft-steve-rigged-free-3d-model_9680.html,Obj,.Jpg| .Mtl for Vray| Mental Ray| Corona,N/A,N/A,Yes,No,Non-commercial,Medium Poly,3ds Max| Maya| Cinema 4D| Sketchup| ,Characters,Characters|minecraft|People|Rig|Rigged|steve
n,115.6 MB,348600,Realistic City Exterior Scene 3D Model,3D Realistic City Exterior Scene Model for free download| file formats: Blender (.blend). File size: 115.6 MB| ID348600. This model contains 3d assets| polygon| shapes related to ,https://open3dmodel.com/3d-models/realistic-city-exterior-scene_348600.html,Blend,.Jpg| .Mtl for Vray| Mental Ray| Corona,N/A,N/A,No,No,Non-commercial,Medium Poly,3ds Max| Maya| Cinema 4D| Sketchup| ,3D Exterior Scenes|Architecture,architecture|Baked|City|Cityscene|cycles|Destruction|exterior|Gamedesign|painting|Post-apocalyptic|Postnuclear|realistic|scene|Uv+map|War
n,3.4 MB,27452,Apple Iphone X, Xs 3D Model,Free 3D Model of Apple Iphone X| Xs ID27452 for free download| files available in: 3D Studio Max (.max)| Autodesk FBX (.fbx)| Object File (.obj). This file contains the shapes look like to Apple 3d Model| smartphone 3d model. Free download this 3d iphone import to for your electronic 3d scene| or 3d printing. A lot of low poly 3d model| vray materials| textures| rigged| animation are good to import them to your 3d scenes| or 3d printing.,https://open3dmodel.com/3d-models/apple-iphone-xs_27452.html,Fbx|Max|Obj,.Jpg| .Mtl for Vray| Mental Ray| Corona,N/A,N/A,No,No,Non-commercial,Low Poly,3ds Max| Maya| Cinema 4D| Sketchup| ,Electronic|Exclusive 3D Models|High Quality,Apple|exclusive-3d|High|High Poly|iOS|iOS Phone|iPhone|iphone x|iphone xs|Low Poly|Lowpoly|Phone|Poly|Smartphone|x|xs
n,20.5 MB,20930,House Kitchen Interior Design Free 3D Model,Download 2014 3d Max Model Free Kitchen in .3ds .Max Zip files – ID20930. Thousands Free 3D Max Models of Kitchen 3D Objects| a lot of 3D Models download free for your 3D Visualization & 3D Printing.,https://open3dmodel.com/3d-models/house-kitchen-interior-design-3dsmax-model-free_20930.html,3ds|Max,.Jpg| .Mtl for Vray| Mental Ray| Corona,N/A,N/A,No,No,Non-commercial,Medium Poly,3ds Max| Maya| Cinema 4D| Sketchup| ,3D Interior Scenes|Architecture|Furniture|Kitchen Furniture,Design|House|Interior|Kitchen
n,6.7 MB,16287,Green Trees 3D Model,Download Green Trees 3d Max Model Free in .3ds .Max Zip files – ID16287. Thousands Free 3D Max Models of Plant 3D Objects| a lot of 3D Models download free for your 3D Visualization & 3D Printing.,https://open3dmodel.com/3d-models/green-trees-3d-max-model-free_16287.html,3ds|Max,.Jpg| .Mtl for Vray| Mental Ray| Corona,N/A,N/A,No,No,Non-commercial,Medium Poly,3ds Max| Maya| Cinema 4D| Sketchup| ,Nature|Plants & Trees,Green|Plant|Plants|Tree|Trees
n,18.4 MB,20932,Modern Home Kitchen Design 3D Model,Download Modern Home Kitchen Design 3d Max Model Free in .3ds .Max Zip files – ID20932. Thousands Free 3D Max Models of Kitchen 3D Objects| a lot of 3D Models download free for your 3D Visualization & 3D Printing.,https://open3dmodel.com/3d-models/modern-home-kitchen-design-3d-max-model-free_20932.html,3ds|Max,.Jpg| .Mtl for Vray| Mental Ray| Corona,N/A,N/A,No,No,Non-commercial,Medium Poly,3ds Max| Maya| Cinema 4D| Sketchup| ,3D Interior Scenes|Architecture|Furniture|Kitchen Furniture,Design|Home|Kitchen|Modern
